GameId,SeasonYear,OffenseTeam,ConversionSuccess,ShortYardage,IsRush,MediumYardage,IsPass,IsGoForIt,LongYardage,IsTouchdown,IsIncomplete,YardsToGo,DownToGoRatio,Yards,YardLineFixed,FieldPosition
2019122201,2019,LAC,,0,0,0,0,0,1,0,0,20,4.0,0,35,0.35
2019122201,2019,LAC,,1,0,0,0,0,0,0,0,2,0.4,0,34,0.34
2019112406,2019,NYJ,,0,0,0,0,0,1,0,0,7,1.4,0,18,0.18
2019122201,2019,LV,,0,0,0,0,0,1,0,0,9,1.8,0,42,0.42
2019122201,2019,LV,,1,0,0,0,0,0,0,0,2,0.4,0,50,0.5
2019122201,2019,LV,,1,0,0,0,0,0,0,0,2,0.4,0,29,0.29
2019122201,2019,LV,1.0,1,0,0,1,1,0,0,0,2,0.4,10,42,0.42
2019121510,2019,LV,,0,0,1,0,0,0,0,0,6,1.2,0,27,0.27
2019121510,2019,LV,,0,0,0,0,0,1,0,0,11,2.2,0,32,0.32
2019121510,2019,LV,,1,0,0,0,0,0,0,0,1,0.2,0,49,0.49
2019121510,2019,LV,,0,0,0,0,0,1,0,0,8,1.6,0,15,0.15
2019092905,2019,IND,,0,0,0,0,0,1,0,0,20,4.0,0,15,0.15
2019092905,2019,IND,,0,0,1,0,0,0,0,0,6,1.2,0,44,0.44
2019092905,2019,IND,,0,0,1,0,0,0,0,0,6,1.2,0,41,0.41
2019092905,2019,IND,1.0,1,1,0,0,1,0,0,0,2,0.4,4,18,0.18
2019100605,2019,CHI,,0,0,0,0,0,1,0,0,14,2.8,0,16,0.16
2019100605,2019,CHI,,0,0,0,0,0,1,0,0,13,2.6,0,30,0.3
2019100605,2019,CHI,,0,0,0,0,0,1,0,0,10,2.0,0,25,0.25
2019100605,2019,CHI,,0,0,1,0,0,0,0,0,6,1.2,0,42,0.42
2019100605,2019,CHI,,0,0,1,0,0,0,0,0,6,1.2,0,42,0.42
2019102004,2019,GB,,0,0,0,0,0,1,0,0,18,3.6,0,34,0.34
2019121510,2019,LV,,0,0,0,0,0,1,0,0,25,5.0,0,46,0.46
2019120812,2019,LV,0.0,1,0,0,1,1,0,0,1,1,0.2,0,1,0.01
2019120812,2019,LV,,0,0,1,0,0,0,0,0,6,1.2,0,43,0.43
2019111709,2019,LV,,0,0,0,0,0,1,0,0,8,1.6,0,33,0.33
2019111709,2019,LV,,1,0,0,0,0,0,0,0,1,0.2,0,1,0.01
2019111709,2019,LV,1.0,1,1,0,0,1,0,0,0,1,0.2,3,4,0.04
2019110700,2019,LV,,1,0,0,0,0,0,0,0,1,0.2,0,34,0.34
2019110700,2019,LV,,1,0,0,0,0,0,0,0,2,0.4,0,4,0.04
2019110700,2019,LV,1.0,1,1,0,0,1,0,0,0,1,0.2,3,40,0.4
2019110700,2019,LV,,0,0,0,0,0,1,0,0,13,2.6,0,22,0.22
2019110307,2019,LV,,1,0,0,0,0,0,0,0,2,0.4,0,27,0.27
2019110307,2019,LV,0.0,0,0,1,1,1,0,0,1,3,0.6,0,35,0.35
2019102704,2019,LV,,0,0,0,0,0,1,0,0,7,1.4,0,25,0.25
2019102004,2019,LV,0.0,1,1,0,0,1,0,0,0,1,0.2,0,1,0.01
2019102004,2019,LV,,0,0,0,0,0,1,0,0,7,1.4,0,26,0.26
2019100605,2019,LV,,0,0,0,0,0,1,0,0,14,2.8,0,23,0.23
2019111709,2019,CIN,,0,0,0,0,0,1,0,0,9,1.8,0,32,0.32
2019111709,2019,CIN,,0,0,0,0,0,1,0,0,7,1.4,0,23,0.23
2019111709,2019,CIN,,0,0,0,0,0,1,0,0,15,3.0,0,10,0.1
2019112406,2019,NYJ,,0,0,0,0,0,1,0,0,19,3.8,0,13,0.13
2019112406,2019,NYJ,,0,0,0,0,0,1,0,0,14,2.8,0,22,0.22
