PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
0.04011542858095222,1.3380978827850327,2.3194485898653685,-0.8655696883010887,0.359868532372834,-0.8655845944393981,0.4265679756716653,0.5142305474038005,-0.6620048591963599,1.0417343547014768,0.2910680322633113,-0.1184289637581495,-0.07364129281960999,-0.11429602440290497,-0.17232337784206833,0.7686122150253033,-0.3944805406420309,0.30832180816420723,0.5368127028191582,-0.5218924018791692,1.1814682602541562
-0.0038033656488910142,1.4843716487940724,2.4257492832341856,-0.9134663480047182,0.09733453126708304,-0.8449139504750259,0.21311613653022624,0.3677188448880854,-0.6540387391070823,-0.07785625425565211,-0.10949750544577057,-0.06040602353749746,-0.5618058505300648,-0.02988993068487861,-0.11719069696333674,-0.2646117728961492,-0.6495050227703214,0.5793490534991715,0.5428339172995313,-0.5138975563545691,1.1898860328364342
-0.1630678696644274,1.8767174158420146,2.342414468445948,-0.9837075917627918,-0.5204204350715904,-0.7790761903829545,-0.2399236316734178,0.06590669479761543,-1.0383585143982894,-0.33746299041152067,-0.7048447224524822,-0.262961683545223,-0.7028997826910947,0.09021831932473455,-0.05627285774769502,-0.5379122110876566,-1.3722039966671056,0.6338005333471912,0.12196742953264793,0.2622142212057515,0.15303922449510182
0.88421899317471,-0.6004514547702413,-0.15887622800965698,0.005488600506074007,-0.18018746796567545,-0.8846851168422979,0.33838682028578926,0.7561784757493542,-1.0650785600703945,0.11033938206107498,0.01390200257828441,0.03180475057944242,-0.14048817044447942,-0.12021202767958035,-0.2258625949525719,0.09587246334909208,-0.20026303229613462,0.5435280597965915,0.7311627816987356,-0.4330731190811733,-0.8128187094065833
-0.2701051730757388,1.7998203841520086,2.0534203703590803,-0.8107766162744057,-0.2828997088449097,-0.6414713842769492,-0.032224386194028135,0.29367425623601434,-1.01517262890477,-0.28075386873338376,-0.11921038226990834,0.09289366559005216,0.07259215195390872,-0.17180951753130805,-0.32765607518731077,-0.1348256890418389,0.3248173353174935,0.2977527545645467,0.16519568412685967,0.2907735653955119,-0.7963047386578518
-0.18599354132622029,1.6737324500227493,2.0758374628317675,-0.7929223786225241,-0.14602152446485656,-0.5952662784139902,0.16999461887883727,0.33416582781772736,-0.6329325227779325,0.01653101085278576,-0.3487900374276819,-0.23235247038078205,-0.6153569324094406,0.1271141258592593,0.01936779622101697,-0.26595040776078366,-1.30591108487636,0.5004255439511265,0.6627635294142638,-0.4974629897412134,-0.6028931703886741
-9.056387274207632,-2.633556530083988,0.10737771929899921,-0.3222997555876028,-0.4322851790330528,1.4853013452717336,2.042552947264514,0.7030500222174267,-4.051931046882187,0.8982322926686319,-0.8439261175045563,1.1349681086206966,-0.09659085107169524,2.099020348378433,0.6194907668160509,-0.8948664670648179,-1.4633349538334266,1.6227142958475715,-4.8117684425079785,-1.8063414879170148,0.5296169981297867
1.098584366223445,-0.8821394229503076,-0.3030926914840316,-0.008458455113993424,-0.29442659119473813,-0.9137076762200912,-0.040683852308623224,0.4391875735934882,-1.2764854670965318,-0.2987766551253314,0.0826301754785917,0.2790179354826941,0.3140825642605998,-0.34852092134629364,-0.49393925964870145,0.03583655555734059,1.069145744973329,0.3562634200669182,-0.03941229565206436,0.5389918047360082,0.25834558227513194
-1.0423317572157351,5.074752692816786,-4.252337577852605,0.10077752392076929,-1.329452479925395,-1.4616122756171985,0.5765198635023313,-0.24390540021911794,-1.035287310779935,-0.4612995390097654,-0.5187998247135573,-0.20359788602886372,0.2397386266387637,-0.19847885867784448,-0.6001556454603433,-0.3305862467281025,0.5706293348207689,-0.8611427349687538,-0.6645537281103793,0.6444830679386548,1.0941816938750706
-0.3504075703433317,1.921494426194466,2.3856700161317543,-0.8675688756864881,0.03007531460313619,-0.7853880019709135,0.3883441800399184,0.6439649048361188,-0.8683485918792405,0.3550057690837184,0.07816915026025208,-0.03844952953783319,-0.14863551143675868,-0.09412409761618434,-0.1950377651886759,0.2279154970588622,-0.3200350546370586,0.43869741370086945,0.7691715724833342,-0.5678670674748113,-0.6798843013208885
