GameId,Quarter,Minute,Second,Down,ToGo,YardLine,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,PassType,IsSack
2019122201,2,14,12,4,1,33,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019122201,2,7,31,4,2,38,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019122201,4,6,49,4,20,35,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019122201,1,9,31,4,2,34,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019112406,3,2,0,4,7,18,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019122201,1,6,33,4,9,58,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019122201,4,3,40,4,2,50,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019122201,4,8,34,4,2,71,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019122201,2,1,3,4,2,58,2019,10,UNDER CENTER,PASS,0,1,SHORT RIGHT,0
2019121510,4,1,48,4,6,73,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019121510,3,9,1,4,1,51,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019121510,2,2,24,4,8,85,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019092905,1,6,55,4,20,15,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019092905,3,12,34,4,6,44,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019092905,3,0,32,4,6,41,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019092905,4,8,59,4,2,18,2019,4,UNDER CENTER,RUSH,1,0,UNKNOWN,0
2019100605,2,7,44,4,14,16,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019100605,2,0,27,4,13,30,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019100605,3,14,16,4,10,25,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019100605,4,8,22,4,6,58,2019,0,UNDER CENTER,PUNT,0,0,UNKNOWN,0
2019100605,4,7,58,4,6,58,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019102004,1,5,8,4,18,34,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019121510,2,7,46,4,25,54,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019120812,3,10,35,4,6,57,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019111709,4,2,0,4,8,67,2019,0,PUNT,PUNT,0,0,UNKNOWN,0
2019111709,4,9,15,4,1,99,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019111709,4,11,5,4,1,96,2019,3,UNDER CENTER,RUSH,1,0,UNKNOWN,0
2019110700,3,8,1,4,1,66,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019110700,3,11,36,4,2,96,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019110700,2,2,0,4,1,60,2019,3,UNDER CENTER,RUSH,1,0,UNKNOWN,0
2019110700,1,8,5,4,13,78,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019110307,3,10,55,4,2,73,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019102704,4,10,52,4,7,75,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
2019102004,4,11,15,4,1,99,2019,0,UNDER CENTER,RUSH,1,0,UNKNOWN,0
2019102004,1,12,25,4,7,74,2019,0,FIELD GOAL,FIELD GOAL,0,0,UNKNOWN,0
