GameId,GameDate,SeasonYear,OffenseTeam,DefenseTeam,Description,Down,YardsToGo,YardLineFixed,FieldPosition,RedZone,OpponentTerritory,OwnTerritory,Quarter,GameTime,LateGame,Overtime,ShortYardage,MediumYardage,LongYardage,DownToGoRatio,DecisionType,IsGoForIt,IsFieldGoalAttempt,IsPuntAttempt,IsRush,IsPass,PlayType,Formation,Yards,ConversionSuccess,FieldGoalSuccess,PlaySuccess,IsTouchdown,IsIncomplete,IsSack,IsInterception,IsFumble
2019112406,2019-11-24,2019,NYJ,LV,"(:44) 9-S.FICKEN 48 YARD FIELD GOAL IS NO GOOD, WIDE LEFT, CENTER-42-T.HENNESSY, HOLDER-4-L.EDWARDS.",4,15,30,0.3,0,0,1,2,30,0,0,0,0,1,3.0,FieldGoal,0,1,0,0,0,FIELD GOAL,FIELD GOAL,0,,0.0,1,0,0,0,0,0
2019112406,2019-11-24,2019,NYJ,LV,"(3:16) 9-S.FICKEN 35 YARD FIELD GOAL IS GOOD, CENTER-42-T.HENNESSY, HOLDER-4-L.EDWARDS.",4,15,17,0.17,0,0,1,2,27,0,0,0,0,1,3.0,FieldGoal,0,1,0,0,0,FIELD GOAL,FIELD GOAL,0,,0.0,1,0,0,0,0,0
2019112406,2019-11-24,2019,NYJ,LV,"(5:05) 9-S.FICKEN 24 YARD FIELD GOAL IS GOOD, CENTER-42-T.HENNESSY, HOLDER-4-L.EDWARDS.",4,6,6,0.06,0,0,1,1,10,0,0,0,1,0,1.2,FieldGoal,0,1,0,0,0,FIELD GOAL,FIELD GOAL,0,,0.0,1,0,0,0,0,0
2019111709,2019-11-17,2019,CIN,LV,(5:11) (SHOTGUN) 5-R.FINLEY PASS INCOMPLETE DEEP RIGHT TO 15-D.WILLIS (35-C.RILEY).,4,4,27,0.27,0,0,1,4,55,1,0,0,1,0,0.8,Pass,1,0,0,0,1,PASS,SHOTGUN,0,0.0,,1,0,1,0,0,0
2019111709,2019-11-17,2019,CIN,LV,"(3:27) 10-K.HUBER PUNTS 26 YARDS TO OAK 15, CENTER-46-C.HARRIS, FAIR CATCH BY 11-T.DAVIS.",4,6,41,0.41,0,0,1,3,42,0,0,0,1,0,1.2,Punt,0,0,1,0,0,PUNT,PUNT,0,,,1,0,0,0,0,0
2019111709,2019-11-17,2019,CIN,LV,"(7:28) 4-R.BULLOCK 40 YARD FIELD GOAL IS GOOD, CENTER-46-C.HARRIS, HOLDER-10-K.HUBER.",4,2,22,0.22,0,0,1,3,38,0,0,1,0,0,0.4,FieldGoal,0,1,0,0,0,FIELD GOAL,FIELD GOAL,0,,0.0,1,0,0,0,0,0
2019111709,2019-11-17,2019,CIN,LV,"(:08) 4-R.BULLOCK 53 YARD FIELD GOAL IS NO GOOD, WIDE LEFT, CENTER-46-C.HARRIS, HOLDER-10-K.HUBER.",4,4,35,0.35,0,0,1,2,30,0,0,0,1,0,0.8,FieldGoal,0,1,0,0,0,FIELD GOAL,FIELD GOAL,0,,0.0,1,0,0,0,0,0
2019111709,2019-11-17,2019,CIN,LV,(5:21) (SHOTGUN) 5-R.FINLEY PASS SHORT MIDDLE TO 85-T.EIFERT TO OAK 18 FOR 18 YARDS (21-D.SWEARINGER).,4,3,36,0.36,0,0,1,1,10,0,0,0,1,0,0.6,Pass,1,0,0,0,1,PASS,SHOTGUN,18,1.0,,1,0,0,0,0,0
2019111709,2019-11-17,2019,CIN,LV,"(12:42) 10-K.HUBER PUNTS 36 YARDS TO OAK 9, CENTER-46-C.HARRIS, FAIR CATCH BY 11-T.DAVIS.",4,10,45,0.45,0,0,1,3,33,0,0,0,0,1,2.0,Punt,0,0,1,0,0,PUNT,PUNT,0,,,1,0,0,0,0,0
2019110700,2019-11-07,2019,LAC,LV,(14:34) 34-D.WATT UP THE MIDDLE TO OAK 49 FOR 1 YARD (92-P.HALL).,4,1,50,0.5,0,0,1,2,16,0,0,1,0,0,0.2,Rush,1,0,0,1,0,RUSH,UNDER CENTER,1,1.0,,1,0,0,0,0,0
